id,grade,type_raw,voc_class,habitat,habitat_basis,lat,lng,loc,country,length,recordist,saved_path
1041375,A,song,song,urban,Canberra@7km,-35.329,149.0694,"Curtin, Australian Capital Territory",Australia,0:22,Zebedee Muller,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_1041375.mp3
1017328,A,song,song,urban,Canberra@7km,-35.2381,149.0838,"University of Canberra (near  Bruce), Australian Capital Territory",Australia,1:02,James Lambert,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_1017328.mp3
1008335,A,song,song,urban,Canberra@7km,-35.2381,149.0838,"University of Canberra (near  Bruce), Australian Capital Territory",Australia,0:19,James Lambert,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_1008335.mp3
935908,A,song,song,urban,Port Fairy@3km,-38.3921,142.247,"Griffiths Island Wildlife Platform (near  Port Fairy), Moyne Shire, Victoria",Australia,0:04,Romuald Mikusek,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_935908.mp3
934083,A,,other,urban,Little River@6km,-37.9537,144.4382,"You Yangs Regional Park, Geelong, Victoria",Australia,1:50,Justin Watts,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\other\MagpieRecord_934083.mp3
881017,A,song,song,urban,Lower King@4km,-34.9414,117.9757,"Kalgan River Caravan Park and Chalets (near  Kalgan), City of Albany, Western Australia",Australia,0:12,nick talbot,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_881017.mp3
826873,A,call,call,urban,Hobart@4km,-42.8665,147.2769,"Lenah Valley, City of Hobart, Tasmania",Australia,0:16,Richard White,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_826873.mp3
816246,A,song,song,rural,nearest Springsure@115km,-24.9913,148.6864,"Nuga Nuga National Park, Queensland",Australia,0:09,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_816246.mp3
816245,A,call,call,rural,nearest Springsure@115km,-24.9913,148.6864,"Nuga Nuga National Park, Queensland",Australia,1:22,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_816245.mp3
816123,A,call,call,urban,Guyra@18km,-30.0816,151.7741,"Little Llangothlin Nature Reserve, New South Wales",Australia,0:05,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_816123.mp3
747690,A,subsong,song,rural,nearest Encounter Bay@33km,-35.6446,138.2422,"Deep Creek Conservation Park, Fleurieu Peninsula, South Australia",Australia,0:38,Eddy Smith,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_747690.mp3
729284,A,"duet, song",song,urban,Little Hampton@1km,-35.0484,138.866,"Littlehampton, District Council of Mount Barker, South Australia",Australia,0:16,Toby Esplin,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_729284.mp3
726066,A,uncertain,other,urban,Corinda@4km,-27.5215,153.1108,"Carindale, Brisbane City, Queensland",Australia,0:16,Richard Fuller,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\other\MagpieRecord_726066.mp3
692695,A,alarm call,call,rural,nearest Broken Hill@237km,-30.7215,143.5073,"Paroo Darling National Park, New South Wales",Australia,0:41,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_692695.mp3
692694,A,alarm call,call,rural,nearest Hillston@91km,-32.6712,145.6917,"Yathong Nature Reserve, Eastern Boundary, New South Wales",Australia,0:10,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_692694.mp3
689343,A,call,call,rural,nearest Broken Hill@237km,-30.7215,143.5073,"Paroo Darling National Park, New South Wales",Australia,0:12,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_689343.mp3
663449,A,song,song,rural,nearest Narrogin@26km,-32.7833,116.972,"Lions Dryandra Woodland Village, Shire of Cuballing, Western Australia",Australia,0:21,Drew Davison,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_663449.mp3
638372,A,song,song,urban,Mandurah@4km,-32.5617,115.702,"Len Howard Conservation Park (near  Erskine), City of Mandurah, Western Australia",Australia,0:13,Drew Davison,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_638372.mp3
609051,A,song,song,rural,nearest Broken Hill@285km,-29.4809,142.2319,"Mount Wood Homestead area, Sturt NP, New South Wales",Australia,1:35,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_609051.mp3
603298,A,song,song,urban,San Remo@3km,-38.522,145.3365,"Phillip Island (near  Cape Woolamai), Bass Coast Shire, Victoria",Australia,1:09,Iain Woxvold,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_603298.mp3
603194,A,song,song,urban,Kilmore@12km,-37.2503,144.8216,"Goldie, Macedon Ranges Shire, Victoria",Australia,1:10,Iain Woxvold,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_603194.mp3
597149,A,song,song,rural,nearest Broken Hill@237km,-30.7215,143.5073,"Paroo Darling National Park, New South Wales",Australia,0:42,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_597149.mp3
594050,A,song,song,rural,nearest Broken Hill@285km,-29.4809,142.2319,"Mount Wood Homestead area, Sturt NP, New South Wales",Australia,1:13,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_594050.mp3
591209,A,song,song,urban,Kurrajong Heights@12km,-33.4456,150.6264,"Mountain Lagoon, Hawkesbury City Council, New South Wales",Australia,0:06,Mike FitzGerald,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_591209.mp3
589241,A,"call, song",song,urban,Kurrajong Heights@12km,-33.4456,150.6264,"Mountain Lagoon, Hawkesbury City Council, New South Wales",Australia,0:06,Mike FitzGerald,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_589241.mp3
589240,A,call,call,urban,Kurrajong Heights@12km,-33.4456,150.6264,"Mountain Lagoon, Hawkesbury City Council, New South Wales",Australia,0:37,Mike FitzGerald,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_589240.mp3
570697,A,song,song,urban,Oxford Park@6km,-27.3659,153.0125,"Aspley, Brisbane City, Queensland",Australia,0:13,James Lambert,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_570697.mp3
570404,A,song,song,urban,Oxford Park@6km,-27.3659,153.0125,"Aspley, Brisbane City, Queensland",Australia,0:07,James Lambert,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_570404.mp3
570371,A,song,song,urban,Oxford Park@6km,-27.3659,153.0125,"Aspley, Brisbane City, Queensland",Australia,0:06,James Lambert,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_570371.mp3
565890,A,call,call,urban,Queenscliff@0km,-38.2702,144.6471,"Queenscliff, Queenscliffe Borough, Victoria",Australia,0:15,Helen Johnston (c/o Marc Anderson),C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_565890.mp3
554841,A,call,call,urban,Oxford Park@6km,-27.3659,153.0125,"Aspley, Brisbane City, Queensland",Australia,0:06,James Lambert,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_554841.mp3
554840,A,call,call,urban,Oxford Park@6km,-27.3659,153.0125,"Aspley, Brisbane City, Queensland",Australia,0:21,James Lambert,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_554840.mp3
500508,A,begging call,call,urban,Oxford Park@6km,-27.3659,153.0125,"Aspley, Brisbane City, Queensland",Australia,0:35,James Lambert,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_500508.mp3
488921,A,"call, song, call-and-answer",song,urban,Adelaide@5km,-34.9276,138.656,"Leabrook, City of Burnside, South Australia",Australia,4:35,Khristos Nizamis,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_488921.mp3
383930,A,song,song,urban,Seven Mile Beach@2km,-42.8363,147.5074,"Hobart International Airport, Tasmania",Australia,0:56,Greg McLachlan,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_383930.mp3
382769,A,"call, song",song,rural,nearest Narrogin@30km,-32.8166,116.8865,"Congelin Dam, Dryandra Woodland, Western Australia",Australia,0:57,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_382769.mp3
382720,A,song,song,rural,nearest Narrogin@27km,-32.7889,116.9448,"Tomingley Rd, Dryandra Woodland, Western Australia",Australia,0:52,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_382720.mp3
365138,A,"alarm call, call",call,rural,nearest Manjimup@35km,-34.553,116.1811,"Crowea, Shire of Manjimup, Western Australia",Australia,1:41,Martin Cake,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_365138.mp3
365136,A,"call, song",song,rural,nearest Manjimup@35km,-34.553,116.1811,"Crowea, Shire of Manjimup, Western Australia",Australia,2:09,Martin Cake,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_365136.mp3
357317,A,"call, song, wing beats",song,rural,nearest Blayney@44km,-33.9171,149.3577,"Abercrombie Caves, New South Wales",Australia,1:01,Greg McLachlan,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_357317.mp3
335533,A,flight call,call,rural,nearest Broken Hill@110km,-31.2553,142.2858,"Mutawintji National Park, New South Wales",Australia,0:31,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_335533.mp3
327864,A,"call, flight call",call,rural,nearest Merriwa@30km,-32.2347,150.0579,"Goulburn River National Park, New South Wales",Australia,0:25,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_327864.mp3
269695,A,"duet, song",song,urban,Kandos@20km,-33.0226,150.0369,"Capertee National Park, NSW",Australia,0:57,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_269695.mp3
269668,A,song,song,urban,Kandos@20km,-33.0226,150.0369,"Capertee National Park, NSW",Australia,1:17,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_269668.mp3
244305,A,flight call,call,rural,nearest Oakdale@30km,-34.1184,150.1752,"Blue Mountains National Park South, New South Wales",Australia,0:28,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_244305.mp3
218068,A,song,song,urban,Central Coast@22km,-33.3824,151.0704,"Dharug National Park (near  Gunderman), New South Wales",Australia,0:10,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_218068.mp3
217874,A,song,song,urban,Wentworth Falls@2km,-33.7233,150.357,"Blue Mountains National Park (near  Leura), New South Wales",Australia,0:11,Henk Krajenbrink,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_217874.mp3
200412,A,begging call,call,rural,nearest Ouyen@63km,-35.5876,142.0367,"Wyperfeld National Park (near  Yaapeet), Victoria",Australia,0:18,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_200412.mp3
200286,A,song,song,rural,nearest Ouyen@63km,-35.5876,142.0367,"Wyperfeld National Park (near  Yaapeet), Victoria",Australia,0:16,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_200286.mp3
174168,A,call,call,urban,Helensburgh@4km,-34.1796,151.0403,"Royal National Park (near  Lilyvale), New South Wales",Australia,0:28,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_174168.mp3
172265,A,call,call,urban,Cooranbong@9km,-33.005,151.3931,"Watagan National Park (near  Laguna), New South Wales",Australia,0:44,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_172265.mp3
172204,A,"call, flight call, song",song,rural,nearest Aldavilla@43km,-30.8098,152.4435,"Bellbrook, New South Wales",Australia,0:45,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_172204.mp3
172203,A,song,song,rural,nearest Aldavilla@43km,-30.8098,152.4435,"Bellbrook, New South Wales",Australia,0:19,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_172203.mp3
171919,A,song,song,urban,Chiltern@4km,-36.1247,146.6234,"Chiltern, Victoria",Australia,0:08,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_171919.mp3
171918,A,"call, song",song,urban,Chiltern@4km,-36.1247,146.6234,"Chiltern, Victoria",Australia,0:40,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_171918.mp3
171917,A,song,song,urban,Chiltern@4km,-36.1247,146.6234,"Chiltern, Victoria",Australia,0:09,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_171917.mp3
105995,A,song,song,urban,Adelaide@12km,-34.869,138.715,Athelstone,Australia,0:11,John Fleming,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_105995.mp3
96885,A,begging call,call,rural,nearest Millmerran@63km,-28.4159,151.0801,Inglewood Qld,Australia,0:25,Patrik Åberg,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_96885.mp3
96884,A,song,song,urban,Anglesea@9km,-38.457,144.109,"Aireys Inlet lighthouse, Anglesea, Victoria",Australia,0:30,Patrik Åberg,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_96884.mp3
63369,A,"song, sub-song",song,urban,Bongaree@2km,-27.096,153.167,"Buckley's Hole, Bribie Island",Australia,0:12,Peter Woodall,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_63369.mp3
1138305,B,"song, traffic, grass rustling",song,urban,Melbourne@9km,-37.7322,144.9748,"Edgars Creek Parkland (near Coburg North), Moreland City, Victoria",Australia,0:56,Nick Talbot,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_1138305.mp3
1095972,B,song,song,unknown,no_geotag,,,Fowlers Gap,Australia,0:03,Mike Letnic,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\unknown\song\MagpieRecord_1095972.mp3
1066594,B,song,song,rural,nearest Dimbulah@207km,-18.275,143.5489,"Georgetown, Queensland",Australia,0:58,Peter Boesman,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_1066594.mp3
1050077,B,call,call,urban,Robertson@12km,-34.646,150.4819,"Fitzroy Falls carpark, Wingecarribee Shire Council, New South Wales",Australia,0:22,Richard White,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_1050077.mp3
1026927,B,song,song,rural,nearest Smiths Lake@2306km,-37.974,177.0205,"Maraetotara, Whakatane District, Bay of Plenty",New Zealand,0:25,Ken George,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_1026927.mp3
959425,B,song,song,rural,nearest Smiths Lake@2191km,-38.5113,175.5619,"Ngaherenga DOC campsite, Pureora Forest Park, Waikato District.",New Zealand,0:08,Meena Haribal,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_959425.mp3
959424,B,song,song,rural,nearest Smiths Lake@2191km,-38.5113,175.5619,"Ngaherenga DOC campsite, Pureora Forest Park, Waikato District.",New Zealand,0:07,Meena Haribal,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_959424.mp3
959293,B,"song, magpie wing sound",song,unknown,no_geotag,,,"Ngaherenga DOC campsite, Pureora Forest Park, Waikato District.",New Zealand,4:12,Meena Haribal,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\unknown\song\MagpieRecord_959293.mp3
957831,B,song,song,rural,nearest Smiths Lake@2305km,-37.9672,177.014,"Maraetotara, Whakatane District, Bay of Plenty",New Zealand,4:01,Ken George,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_957831.mp3
913475,B,"song, Traffic, walking on grass",song,urban,Melbourne@13km,-37.6992,144.9534,"Northern Memorial Park (near  Glenroy), City of Merri-bek, Victoria",Australia,0:13,Nick Talbot,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_913475.mp3
895591,B,call,call,rural,nearest Narrogin@26km,-32.7833,116.972,"Lions Dryandra Woodland Village, Shire of Cuballing, Western Australia",Australia,2:39,Drew Davison,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_895591.mp3
871683,B,"begging call, call",call,rural,nearest Foster@32km,-38.8882,145.9869,Bear Gully Campground,Australia,0:11,Sunny Tseng,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_871683.mp3
859894,B,call,call,rural,nearest Ouyen@39km,-34.714,142.356,Hattah-Kulkyne National Park,Australia,0:19,Peter Boesman,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_859894.mp3
859891,B,song,song,urban,Olinda@1km,-37.8519,145.353,"Dandenong Ranges National Park, Victoria",Australia,0:37,Peter Boesman,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_859891.mp3
840498,B,call,call,urban,Broome@5km,-17.9269,122.2677,The Common (Dampier Creek saltmarsh),Australia,0:22,Nigel Jackett,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_840498.mp3
729286,B,"duet, song",song,urban,Little Hampton@1km,-35.0484,138.866,"Littlehampton, District Council of Mount Barker, South Australia",Australia,0:20,Toby Esplin,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_729286.mp3
729285,B,"dawn song, song",song,urban,Little Hampton@1km,-35.0484,138.866,"Littlehampton, District Council of Mount Barker, South Australia",Australia,1:10,Toby Esplin,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_729285.mp3
684055,B,song,song,urban,Perth@4km,-31.9225,115.8333,"Mount Hawthorn, City of Vincent, Western Australia",Australia,0:47,Drew Davison,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_684055.mp3
675712,B,,other,urban,Wattleglen@10km,-37.6998,145.0777,"Bundoora, Banyule City, Victoria",Australia,1:02,Richard Boon,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\other\MagpieRecord_675712.mp3
614416,B,song,song,urban,Yackandandah@2km,-36.3302,146.829,"Yackandandah, Indigo Shire, Victoria",Australia,0:08,Steve Dettmar,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_614416.mp3
580379,B,call,call,urban,Oxford Park@6km,-27.3659,153.0125,"Aspley, Brisbane City, Queensland",Australia,0:35,James Lambert,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_580379.mp3
580373,B,call,call,urban,Oxford Park@6km,-27.3659,153.0125,"Aspley, Brisbane City, Queensland",Australia,0:44,James Lambert,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_580373.mp3
564335,B,call,call,urban,Sheffield@14km,-41.453,146.1868,"Staverton, Kentish Council, Tasmania",Australia,1:41,Ramit Singal,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_564335.mp3
562781,B,song,song,urban,Melbourne@9km,-37.7337,144.9673,"Coburg North, Victoria",Australia,0:47,nick talbot,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_562781.mp3
507774,B,song,song,rural,nearest Quorn@121km,-31.4436,138.7567,"Willow Springs, South Australia",Australia,1:14,Rick Sharloch,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_507774.mp3
496301,B,"call, song",song,urban,Melbourne@8km,-37.7398,144.9816,"Elizabeth Street, Coburg, near the Merri Creek, Melbourne ",Australia,1:16,Catherine Clover,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_496301.mp3
434549,B,call,call,rural,nearest Springsure@118km,-25.1569,147.8858,"Mount Moffatt, Maranoa Regional, Queensland",Australia,0:20,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_434549.mp3
413372,B,song,song,rural,nearest Thursday Island@269km,-8.6634,140.7217,"Wasur National Park, Papua",Indonesia,2:04,Philippe Verbelen,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_413372.mp3
372346,B,call,call,urban,Perth@3km,-31.924,115.8666,"Mount Lawley, Western Australia",Australia,1:53,Martin Cake,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_372346.mp3
344823,B,song,song,rural,nearest Smiths Lake@2194km,-38.318,175.6522,"Waipapa Ecological Area, Pureora Forest, North Island",New Zealand,0:11,Dan Lane,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_344823.mp3
327492,B,call,call,urban,Dunsborough@1km,-33.6082,115.094,"Dunsborough, City of Busselton, Western Australia",Australia,0:15,Martin Cake,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_327492.mp3
310808,B,"call, song",song,urban,Port Fairy@3km,-38.3921,142.247,"Port Fairy, Victoria",Australia,0:07,nick talbot,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_310808.mp3
