source,original_file,segment,start_sample,end_sample,duration_sec,output_file
XENO,MagpieRecord_365138,11,2138290,2172416,1.548,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg011.wav
XENO,MagpieRecord_689343,1,0,17742,0.805,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_689343_seg001.wav
XENO,MagpieRecord_692695,1,29874,55630,1.168,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_692695_seg001.wav
XENO,MagpieRecord_692695,2,108466,143950,1.609,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_692695_seg002.wav
XENO,MagpieRecord_692695,3,264882,327502,2.84,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_692695_seg003.wav
XENO,MagpieRecord_692695,4,388018,406350,0.831,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_692695_seg004.wav
XENO,MagpieRecord_692695,5,567218,597326,1.365,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_692695_seg005.wav
XENO,MagpieRecord_816245,1,138418,165198,1.215,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_816245_seg001.wav
XENO,MagpieRecord_816245,2,377778,397134,0.878,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_816245_seg002.wav
XENO,MagpieRecord_816245,3,820658,850510,1.354,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_816245_seg003.wav
XENO,MagpieRecord_816245,4,1033138,1052238,0.866,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_816245_seg004.wav
XENO,MagpieRecord_816245,5,1727154,1762304,1.594,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_816245_seg005.wav
XENO,MagpieRecord_859894,1,12466,56910,2.016,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_859894_seg001.wav
XENO,MagpieRecord_859894,2,66226,115790,2.248,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_859894_seg002.wav
XENO,MagpieRecord_859894,3,128946,147278,0.831,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_859894_seg003.wav
XENO,MagpieRecord_859894,4,262578,298062,1.609,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_859894_seg004.wav
XENO,MagpieRecord_871683,1,17330,36686,0.878,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_871683_seg001.wav
XENO,MagpieRecord_895591,1,116146,151630,1.609,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg001.wav
XENO,MagpieRecord_895591,2,226738,290382,2.886,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg002.wav
XENO,MagpieRecord_895591,3,338354,367438,1.319,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg003.wav
XENO,MagpieRecord_895591,4,531634,560206,1.296,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg004.wav
XENO,MagpieRecord_895591,5,789426,838990,2.248,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg005.wav
XENO,MagpieRecord_895591,6,881330,911694,1.377,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg006.wav
XENO,MagpieRecord_895591,7,1682610,1710926,1.284,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg007.wav
XENO,MagpieRecord_895591,8,1735090,1788494,2.422,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg008.wav
XENO,MagpieRecord_895591,9,1910706,1934670,1.087,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg009.wav
XENO,MagpieRecord_895591,10,2084274,2145870,2.793,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg010.wav
XENO,MagpieRecord_895591,11,2540210,2605134,2.944,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg011.wav
XENO,MagpieRecord_895591,12,3007666,3028302,0.936,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg012.wav
XENO,MagpieRecord_895591,13,3111346,3134030,1.029,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_895591_seg013.wav
XENO,MagpieRecord_96885,1,251314,315726,2.921,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_96885_seg001.wav
XENO,MagpieRecord_96885,2,449714,529230,3.606,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_96885_seg002.wav
XENO,MagpieRecord_1026927,1,28850,50510,0.982,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1026927_seg001.wav
XENO,MagpieRecord_1026927,2,142514,178510,1.632,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1026927_seg002.wav
XENO,MagpieRecord_1026927,3,287154,314446,1.238,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1026927_seg003.wav
XENO,MagpieRecord_1026927,4,430258,468558,1.737,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1026927_seg004.wav
XENO,MagpieRecord_1045892,1,0,51278,2.326,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1045892_seg001.wav
XENO,MagpieRecord_1045892,2,507570,573262,2.979,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1045892_seg002.wav
XENO,MagpieRecord_1045892,3,1176242,1224270,2.178,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1045892_seg003.wav
XENO,MagpieRecord_1045892,4,1489074,1564750,3.432,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1045892_seg004.wav
XENO,MagpieRecord_1045892,5,1984690,2034688,2.267,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1045892_seg005.wav
XENO,MagpieRecord_1054235,1,169906,189774,0.901,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1054235_seg001.wav
XENO,MagpieRecord_1066594,1,0,41038,1.861,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1066594_seg001.wav
XENO,MagpieRecord_1066594,2,187314,230478,1.958,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1066594_seg002.wav
XENO,MagpieRecord_1066594,3,397746,431950,1.551,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1066594_seg003.wav
XENO,MagpieRecord_1086678,1,352434,395086,1.934,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_1086678_seg001.wav
XENO,MagpieRecord_152949,1,338610,428878,4.094,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_152949_seg001.wav
XENO,MagpieRecord_152949,2,680626,742400,2.802,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_152949_seg002.wav
XENO,MagpieRecord_153012,1,36018,67918,1.447,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_153012_seg001.wav
XENO,MagpieRecord_153012,2,172978,205646,1.482,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_153012_seg002.wav
XENO,MagpieRecord_153012,3,402098,421198,0.866,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_153012_seg003.wav
XENO,MagpieRecord_153012,4,615090,649550,1.563,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_153012_seg004.wav
XENO,MagpieRecord_172203,1,45490,81742,1.644,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_172203_seg001.wav
XENO,MagpieRecord_172203,2,116914,155982,1.772,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_172203_seg002.wav
XENO,MagpieRecord_172204,1,0,21838,0.99,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_172204_seg001.wav
XENO,MagpieRecord_172204,2,75442,120654,2.05,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_172204_seg002.wav
XENO,MagpieRecord_172204,3,376754,396366,0.889,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_172204_seg003.wav
XENO,MagpieRecord_172204,4,530866,565070,1.551,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_172204_seg004.wav
XENO,MagpieRecord_172204,5,790706,840192,2.244,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_172204_seg005.wav
XENO,MagpieRecord_200286,1,1458,19534,0.82,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_200286_seg001.wav
XENO,MagpieRecord_200287,1,42162,79182,1.679,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_200287_seg001.wav
XENO,MagpieRecord_200287,2,259250,299342,1.818,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_200287_seg002.wav
XENO,MagpieRecord_344823,1,103602,126542,1.04,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_344823_seg001.wav
XENO,MagpieRecord_357317,1,128178,154702,1.203,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_357317_seg001.wav
XENO,MagpieRecord_357317,2,655282,679246,1.087,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_357317_seg002.wav
XENO,MagpieRecord_357317,3,740018,764238,1.098,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_357317_seg003.wav
XENO,MagpieRecord_357317,4,862130,889678,1.249,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_357317_seg004.wav
XENO,MagpieRecord_357317,5,912050,936270,1.098,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_357317_seg005.wav
XENO,MagpieRecord_357317,6,1158578,1185358,1.215,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_357317_seg006.wav
XENO,MagpieRecord_365136,1,270258,333646,2.875,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_365136_seg001.wav
XENO,MagpieRecord_365136,2,636850,702542,2.979,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_365136_seg002.wav
XENO,MagpieRecord_365136,3,1380786,1455182,3.374,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_365136_seg003.wav
XENO,MagpieRecord_365136,4,1606834,1633358,1.203,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_365136_seg004.wav
XENO,MagpieRecord_365136,5,2146226,2164558,0.831,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_365136_seg005.wav
XENO,MagpieRecord_382720,1,8114,88910,3.664,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_382720_seg001.wav
XENO,MagpieRecord_382720,2,350386,439118,4.024,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_382720_seg002.wav
XENO,MagpieRecord_382720,3,871346,974336,4.671,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_382720_seg003.wav
XENO,MagpieRecord_382769,1,28594,76110,2.155,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_382769_seg001.wav
XENO,MagpieRecord_382769,2,575154,595278,0.913,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_382769_seg002.wav
XENO,MagpieRecord_382769,3,1097394,1136206,1.76,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_382769_seg003.wav
XENO,MagpieRecord_413372,1,9138,56910,2.167,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_413372_seg001.wav
XENO,MagpieRecord_413372,2,498098,545358,2.143,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_413372_seg002.wav
XENO,MagpieRecord_413372,3,838834,885582,2.12,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_413372_seg003.wav
XENO,MagpieRecord_413372,4,1227954,1274190,2.097,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_413372_seg004.wav
XENO,MagpieRecord_413372,5,1749426,1795406,2.085,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_413372_seg005.wav
XENO,MagpieRecord_413372,6,2145714,2191694,2.085,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_413372_seg006.wav
XENO,MagpieRecord_413372,7,2577074,2622976,2.082,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_413372_seg007.wav
XENO,MagpieRecord_507774,1,40882,78414,1.702,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_507774_seg001.wav
XENO,MagpieRecord_507774,2,340658,400462,2.712,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_507774_seg002.wav
XENO,MagpieRecord_507774,3,647346,706638,2.689,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_507774_seg003.wav
XENO,MagpieRecord_507774,4,1036466,1070158,1.528,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_507774_seg004.wav
XENO,MagpieRecord_594050,1,0,66894,3.034,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_594050_seg001.wav
XENO,MagpieRecord_594050,2,533682,553038,0.878,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_594050_seg002.wav
XENO,MagpieRecord_594050,3,972210,991822,0.889,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_594050_seg003.wav
XENO,MagpieRecord_594050,4,1234098,1256782,1.029,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_594050_seg004.wav
XENO,MagpieRecord_597149,1,33458,58702,1.145,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_597149_seg001.wav
XENO,MagpieRecord_597149,2,263346,326222,2.852,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_597149_seg002.wav
XENO,MagpieRecord_597149,3,743858,773454,1.342,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_597149_seg003.wav
XENO,MagpieRecord_597149,4,820914,855118,1.551,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_597149_seg004.wav
XENO,MagpieRecord_609051,1,1970,31310,1.331,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg001.wav
XENO,MagpieRecord_609051,2,130482,157774,1.238,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg002.wav
XENO,MagpieRecord_609051,3,257970,289870,1.447,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg003.wav
XENO,MagpieRecord_609051,4,398002,425294,1.238,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg004.wav
XENO,MagpieRecord_609051,5,555186,584014,1.307,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg005.wav
XENO,MagpieRecord_609051,6,699058,747854,2.213,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg006.wav
XENO,MagpieRecord_609051,7,872370,900942,1.296,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg007.wav
XENO,MagpieRecord_609051,8,1017778,1046350,1.296,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg008.wav
XENO,MagpieRecord_609051,9,1161650,1208910,2.143,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg009.wav
XENO,MagpieRecord_609051,10,1324466,1356622,1.458,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg010.wav
XENO,MagpieRecord_609051,11,1463474,1504590,1.865,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg011.wav
XENO,MagpieRecord_609051,12,1628082,1656142,1.273,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg012.wav
XENO,MagpieRecord_609051,13,1770162,1812558,1.923,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg013.wav
XENO,MagpieRecord_609051,14,1916594,1945422,1.307,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_609051_seg014.wav
XENO,MagpieRecord_663449,1,0,20302,0.921,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_663449_seg001.wav
XENO,MagpieRecord_663449,2,99250,133966,1.574,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_663449_seg002.wav
XENO,MagpieRecord_663449,3,272306,303694,1.423,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_663449_seg003.wav
XENO,MagpieRecord_663449,4,395954,431182,1.598,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_663449_seg004.wav
XENO,MagpieRecord_747690,1,34482,58958,1.11,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_747690_seg001.wav
XENO,MagpieRecord_747690,2,210866,262734,2.352,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_747690_seg002.wav
XENO,MagpieRecord_747690,3,379826,404302,1.11,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_747690_seg003.wav
XENO,MagpieRecord_747690,4,485298,543822,2.654,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_747690_seg004.wav
XENO,MagpieRecord_747690,5,580018,604238,1.098,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_747690_seg005.wav
XENO,MagpieRecord_747690,6,667058,696142,1.319,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_747690_seg006.wav
XENO,MagpieRecord_816246,1,48050,69710,0.982,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_816246_seg001.wav
XENO,MagpieRecord_957831,1,256434,347214,4.117,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_957831_seg001.wav
XENO,MagpieRecord_957831,2,681906,705870,1.087,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_957831_seg002.wav
XENO,MagpieRecord_957831,3,831922,883790,2.352,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_957831_seg003.wav
XENO,MagpieRecord_957831,4,1087666,1155662,3.084,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\song\MagpieRecord_957831_seg004.wav
